iter	Passed	Remaining
0	132	132378
1	133	66549
2	134	44599
3	135	33618
4	135	27026
5	136	22607
6	137	19450
7	137	17081
8	138	15246
9	140	13901
10	141	12693
11	142	11693
12	142	10844
13	143	10107
14	144	9469
15	144	8909
16	145	8417
17	146	7980
18	146	7586
19	147	7231
20	148	6909
21	148	6618
22	149	6358
23	150	6120
24	151	5902
25	152	5695
26	152	5502
27	153	5323
28	154	5156
29	155	5024
30	156	4885
31	157	4752
32	157	4628
33	159	4519
34	160	4413
35	162	4353
36	163	4253
37	164	4158
38	165	4067
39	165	3982
40	166	3900
41	167	3823
42	168	3749
43	169	3680
44	170	3617
45	171	3552
46	172	3489
47	172	3428
48	173	3371
49	174	3316
50	175	3263
51	176	3214
52	177	3165
53	177	3118
54	178	3072
55	179	3028
56	180	2986
57	181	2945
58	182	2906
59	183	2869
60	189	2909
61	189	2872
62	190	2836
63	191	2800
64	192	2766
65	193	2733
66	194	2701
67	194	2670
68	195	2640
69	196	2610
70	197	2581
71	198	2553
72	198	2526
73	199	2499
74	201	2488
75	202	2465
76	204	2447
77	205	2423
78	206	2408
79	207	2386
80	208	2363
81	209	2341
82	209	2314
83	210	2293
84	211	2273
85	212	2254
86	212	2233
87	213	2212
88	214	2191
89	214	2171
90	216	2162
91	218	2152
92	218	2135
93	219	2118
94	220	2100
95	221	2083
96	221	2065
97	222	2048
98	223	2031
99	223	2014
100	224	1998
101	225	1983
102	225	1967
103	226	1952
104	227	1937
105	227	1922
106	228	1908
107	229	1894
108	230	1881
109	232	1880
110	233	1867
111	234	1855
112	234	1843
113	235	1832
114	236	1820
115	237	1808
116	237	1795
117	238	1784
118	239	1774
119	240	1763
120	241	1753
121	241	1741
122	242	1731
123	243	1721
124	244	1711
125	245	1702
126	246	1693
127	247	1687
128	248	1678
129	249	1669
130	250	1660
131	251	1653
132	252	1644
133	253	1635
134	253	1627
135	254	1618
136	255	1609
137	256	1601
138	257	1593
139	258	1585
140	259	1578
141	259	1568
142	260	1560
143	261	1552
144	262	1545
145	263	1539
146	263	1531
147	264	1524
148	265	1517
149	266	1511
150	267	1503
151	268	1496
152	269	1489
153	269	1482
154	270	1476
155	271	1471
156	272	1464
157	273	1458
158	274	1451
159	275	1445
160	276	1443
161	277	1437
162	278	1431
